company_code,best_method,mae_M3b_Damp-IPF,mae_M3_IPF,mae_M2c_ZIP-Tract,mae_M3c_Var-Damp-IPF,mae_M1b_Learned-Wt,naics_group,region,urbanicity,size_bucket,county_minority_share,acs_lodes_disagreement,has_tract_data,is_finance_insurance,is_admin_staffing,is_healthcare
DV6492,M3 IPF,9.44,3.08,10.36,9.19,9.71,Professional/Technical (54),South,Urban,1-99,0.3845,9.119999999999997,1,0,0,0
A03931,M3b Damp-IPF,2.53,4.73,3.84,2.75,3.16,Retail Trade (44-45),West,Urban,10000+,0.2523,5.200000000000003,1,0,0,0
DQ8927,M3 IPF,3.09,1.53,5.09,3.27,5.23,Retail Trade (44-45),Midwest,Urban,100-999,0.2103,0.4000000000000057,1,0,0,0
30525,M1b Learned-Wt,14.4,19.2,13.32,12.9,11.94,Retail Trade (44-45),South,Urban,100-999,0.4845,27.88000000000001,1,0,0,0
JQ0656,M1b Learned-Wt,5.68,9.31,4.61,5.09,3.98,Transport Equip Mfg (336),South,Urban,100-999,0.3695,12.329999999999998,1,0,0,0
L30325,M1b Learned-Wt,1.89,5.64,2.06,1.75,1.51,Transport Equip Mfg (336),South,Urban,100-999,0.1892,4.959999999999994,1,0,0,0
X12876,M2c ZIP-Tract,2.88,4.74,2.49,2.98,3.14,Transport Equip Mfg (336),South,Suburban,100-999,0.3045,2.969999999999999,1,0,0,0
AL5630,M2c ZIP-Tract,0.43,1.36,0.33,0.55,0.46,Utilities (22),West,Rural,100-999,0.0385,1.5100000000000051,1,0,0,0
1674,M3 IPF,5.27,0.28,5.9,5.28,5.4,Utilities (22),South,Rural,100-999,0.217,0.3200000000000074,1,0,0,0
JN5977,M3b Damp-IPF,1.72,5.62,2.49,1.98,2.5,Utilities (22),South,Urban,100-999,0.3084,11.799999999999997,1,0,0,0
925427,M3c Var-Damp-IPF,1.52,1.5,2.04,1.38,2.25,Utilities (22),Midwest,Urban,100-999,0.0881,3.1700000000000017,1,0,0,0
P51674,M3 IPF,6.67,1.03,8.11,8.33,4.07,Utilities (22),South,Suburban,1-99,0.4636,29.67,1,0,0,0
X40044,M1b Learned-Wt,3.29,8.0,2.98,3.13,2.08,Wholesale Trade (42),South,Urban,1k-9999,0.2547,6.179999999999993,1,0,0,0
525923,M1b Learned-Wt,2.97,6.61,2.69,2.85,2.48,Wholesale Trade (42),West,Urban,1k-9999,0.1783,2.510000000000005,1,0,0,0
R08693,M3b Damp-IPF,2.98,4.16,3.96,3.1,4.35,Wholesale Trade (42),Midwest,Urban,100-999,0.2883,13.450000000000003,1,0,0,0
GQ3873,M3b Damp-IPF,3.11,3.72,3.32,3.38,5.32,Wholesale Trade (42),South,Urban,1-99,0.3803,23.900000000000006,1,0,0,0
M16726,M2c ZIP-Tract,5.15,9.86,2.94,4.9,3.19,Wholesale Trade (42),West,Urban,1k-9999,0.312,12.980000000000004,1,0,0,0
HG0861,M3b Damp-IPF,1.53,5.89,3.31,1.56,2.69,Wholesale Trade (42),West,Urban,100-999,0.2974,0.3999999999999915,1,0,0,0
K03095,M1b Learned-Wt,5.36,8.35,3.69,5.1,2.63,Wholesale Trade (42),Midwest,Urban,1k-9999,0.2387,19.340000000000003,1,0,0,0
L09809,M3c Var-Damp-IPF,3.62,4.53,4.71,3.45,3.69,Wholesale Trade (42),West,Urban,100-999,0.2781,11.93,1,0,0,0
8596,M1b Learned-Wt,7.41,11.96,6.74,7.22,6.13,Wholesale Trade (42),Midwest,Urban,1k-9999,0.2141,7.0,1,0,0,0
751108,M3 IPF,3.93,2.31,3.66,3.93,3.95,Wholesale Trade (42),South,Urban,1k-9999,0.3783,1.6899999999999977,1,0,0,0
A30149,M3 IPF,10.95,5.86,11.37,11.15,12.14,Wholesale Trade (42),South,Urban,1k-9999,0.4843,11.770000000000003,1,0,0,0
A20032,M1b Learned-Wt,6.29,6.93,4.82,6.29,4.72,Wholesale Trade (42),Midwest,Suburban,100-999,0.0861,0.8199999999999932,1,0,0,0
P09650,M1b Learned-Wt,2.33,8.44,2.1,2.29,1.98,Accommodation/Food Svc (72),South,Urban,10000+,0.3224,12.550000000000004,1,0,0,0
X50049,M2c ZIP-Tract,9.87,15.93,9.06,10.16,9.45,Accommodation/Food Svc (72),South,Urban,1k-9999,0.3452,6.030000000000001,1,0,0,0
964828,M1b Learned-Wt,8.24,10.35,7.35,7.85,7.14,Accommodation/Food Svc (72),South,Urban,1k-9999,0.5418,7.340000000000003,1,0,0,0
AK9299,M2c ZIP-Tract,2.05,5.7,1.74,2.25,1.86,Admin/Staffing (56),Midwest,Urban,100-999,0.1197,3.9399999999999977,1,0,1,0
CU9268,M3b Damp-IPF,2.45,5.72,2.54,2.7,5.49,Admin/Staffing (56),West,Urban,100-999,0.126,18.5,1,0,1,0
127492,M3c Var-Damp-IPF,3.18,10.51,2.87,2.51,4.45,Admin/Staffing (56),Northeast,Urban,10000+,0.3612,5.43,1,0,1,0
CM6564,M3 IPF,3.05,0.77,3.85,1.75,6.71,Admin/Staffing (56),South,Suburban,1k-9999,0.3187,24.819999999999993,1,0,1,0
B49242,M2c ZIP-Tract,10.28,15.71,8.74,8.79,12.66,Admin/Staffing (56),West,Urban,10000+,0.437,4.359999999999999,1,0,1,0
835663,M3 IPF,0.53,0.17,1.36,0.53,1.07,"Agriculture/Mining (11,21)",South,Urban,100-999,0.0756,5.930000000000007,1,0,0,0
96891,M1b Learned-Wt,1.68,4.83,1.7,1.53,1.44,Chemical/Material Mfg (325-327),Midwest,Suburban,1k-9999,0.133,0.0799999999999983,1,0,0,0
CI9419,M2c ZIP-Tract,4.76,10.45,4.68,4.7,4.88,Chemical/Material Mfg (325-327),Northeast,Urban,100-999,0.1983,14.790000000000006,1,0,0,0
T17077,M3c Var-Damp-IPF,3.54,4.58,4.31,2.91,3.2,Chemical/Material Mfg (325-327),South,Suburban,1k-9999,0.2014,13.079999999999998,1,0,0,0
K08455,M1b Learned-Wt,3.64,6.85,3.62,3.59,3.53,Chemical/Material Mfg (325-327),Northeast,Urban,1k-9999,0.1465,3.3100000000000023,1,0,0,0
FB9491,M2c ZIP-Tract,4.25,8.25,3.77,3.99,3.84,Chemical/Material Mfg (325-327),Midwest,Urban,10000+,0.2038,13.510000000000005,1,0,0,0
JK0361,M1b Learned-Wt,14.94,13.86,14.62,13.38,12.93,Computer/Electrical Mfg (334-335),South,Suburban,1-99,0.3415,29.669999999999995,1,0,0,0
FE7351,M3 IPF,4.71,3.15,5.56,4.97,5.63,Computer/Electrical Mfg (334-335),South,Suburban,1-99,0.2816,7.450000000000003,1,0,0,0
F17964,M3c Var-Damp-IPF,5.12,5.61,7.09,4.15,5.85,Computer/Electrical Mfg (334-335),West,Urban,1k-9999,0.4327,20.489999999999995,1,0,0,0
GC3907,M3 IPF,3.69,0.33,4.38,3.83,4.58,Construction (23),South,Rural,100-999,0.14,2.1599999999999966,1,0,0,0
HX1298,M3 IPF,2.33,0.9,3.18,2.76,4.06,Construction (23),South,Suburban,1-99,0.0826,7.8999999999999915,1,0,0,0
A29513,M1b Learned-Wt,6.51,8.56,6.21,6.38,5.99,Construction (23),Midwest,Urban,100-999,0.052,4.730000000000004,1,0,0,0
EQ1496,M2c ZIP-Tract,7.44,13.91,6.2,8.18,9.03,Construction (23),West,Urban,100-999,0.2974,6.1499999999999915,1,0,0,0
HE4215,M3 IPF,1.45,0.62,1.79,1.44,1.53,Construction (23),Midwest,Suburban,100-999,0.0652,1.2800000000000011,1,0,0,0
DX0110,M3 IPF,3.46,1.12,4.23,4.13,5.73,Construction (23),Northeast,Suburban,100-999,0.0956,12.769999999999996,1,0,0,0
B47023,M2c ZIP-Tract,5.66,8.63,5.09,5.7,5.37,Construction (23),West,Urban,1k-9999,0.131,3.339999999999989,1,0,0,0
A21402,M1b Learned-Wt,1.77,2.73,2.99,1.21,0.98,Construction (23),Midwest,Urban,1-99,0.2387,13.939999999999998,1,0,0,0
F25795,M3b Damp-IPF,0.41,1.83,0.54,0.49,0.61,Construction (23),Midwest,Urban,1k-9999,0.0613,0.3299999999999983,1,0,0,0
P52575,M1b Learned-Wt,1.86,2.76,2.65,1.81,1.8,Construction (23),Midwest,Urban,1k-9999,0.2141,10.049999999999997,1,0,0,0
F01807,M2c ZIP-Tract,1.93,5.23,1.68,2.45,3.02,Construction (23),Northeast,Urban,1k-9999,0.2416,14.72999999999999,1,0,0,0
JG5802,M3 IPF,2.96,0.11,3.34,2.6,2.99,Finance/Insurance (52),West,Rural,1-99,0.0713,6.170000000000002,1,1,0,0
T15207,M3 IPF,1.66,0.05,2.27,1.36,1.96,Finance/Insurance (52),West,Rural,1-99,0.0488,3.3700000000000045,1,1,0,0
T52158,M3 IPF,1.62,1.35,1.82,1.64,1.87,Finance/Insurance (52),West,Rural,1-99,0.098,1.5499999999999972,1,1,0,0
JH5156,M1b Learned-Wt,1.3,1.69,1.32,1.3,1.18,Finance/Insurance (52),West,Rural,1-99,0.0553,0.789999999999992,1,1,0,0
AD8082,M3 IPF,8.14,2.39,8.52,6.88,7.39,Finance/Insurance (52),South,Rural,1-99,0.2051,20.279999999999994,1,1,0,0
CM0297,M3 IPF,1.29,0.03,1.77,1.0,1.47,Finance/Insurance (52),Midwest,Rural,1-99,0.0305,4.480000000000004,1,1,0,0
JH1918,M2c ZIP-Tract,3.12,5.38,2.73,3.51,3.08,Finance/Insurance (52),Midwest,Rural,1-99,0.0602,5.859999999999999,1,1,0,0
CJ1940,M1b Learned-Wt,4.18,6.71,3.59,3.79,3.37,Finance/Insurance (52),Northeast,Urban,1-99,0.1835,5.959999999999994,1,1,0,0
B35120,M3 IPF,2.86,0.82,3.16,2.76,3.06,Finance/Insurance (52),Northeast,Urban,1-99,0.1012,2.269999999999996,1,1,0,0
L30323,M3 IPF,2.26,0.35,2.66,1.91,2.22,Finance/Insurance (52),Northeast,Suburban,1-99,0.057,6.689999999999998,1,1,0,0
GB5800,M1b Learned-Wt,4.01,9.73,2.95,2.85,2.62,Finance/Insurance (52),Northeast,Urban,1-99,0.4766,29.810000000000002,1,1,0,0
502122,M3c Var-Damp-IPF,2.74,3.61,3.32,2.3,2.55,Finance/Insurance (52),Northeast,Urban,1k-9999,0.1924,7.3700000000000045,1,1,0,0
604561,M1b Learned-Wt,6.58,12.91,5.52,5.22,5.22,Finance/Insurance (52),Northeast,Urban,100-999,0.4766,29.810000000000002,1,1,0,0
AP7714,M3 IPF,1.88,1.32,2.18,1.8,2.11,Finance/Insurance (52),Northeast,Urban,100-999,0.1012,2.269999999999996,1,1,0,0
784268,M3b Damp-IPF,1.31,3.92,1.98,1.53,1.81,Finance/Insurance (52),Northeast,Urban,100-999,0.1975,1.9000000000000057,1,1,0,0
A28320,M3 IPF,3.6,1.19,3.87,3.37,3.56,Finance/Insurance (52),Northeast,Urban,100-999,0.1465,3.1999999999999886,1,1,0,0
110198,M3c Var-Damp-IPF,1.84,3.07,2.31,1.83,2.27,Finance/Insurance (52),Northeast,Urban,100-999,0.1777,0.8100000000000023,1,1,0,0
H09616,M1b Learned-Wt,6.63,10.19,5.74,5.66,4.67,Finance/Insurance (52),Northeast,Urban,1k-9999,0.3612,18.270000000000003,1,1,0,0
B00837,M3 IPF,2.2,0.92,2.59,2.03,2.26,Finance/Insurance (52),Northeast,Urban,100-999,0.0903,3.3599999999999994,1,1,0,0
M01655,M3b Damp-IPF,1.79,2.02,2.35,1.97,2.36,Finance/Insurance (52),Northeast,Urban,1k-9999,0.1425,1.8599999999999994,1,1,0,0
62058,M1b Learned-Wt,7.7,13.11,6.74,5.54,4.42,Finance/Insurance (52),Northeast,Urban,1k-9999,0.4089,25.260000000000005,1,1,0,0
B24731,M3 IPF,2.35,0.48,2.8,2.03,2.34,Finance/Insurance (52),Northeast,Suburban,100-999,0.0654,5.849999999999994,1,1,0,0
HY3332,M3b Damp-IPF,1.64,2.65,2.6,1.88,2.55,Finance/Insurance (52),Northeast,Urban,100-999,0.1835,5.959999999999994,1,1,0,0
602851,M3 IPF,2.57,1.0,3.2,1.92,2.36,Finance/Insurance (52),Northeast,Urban,100-999,0.064,11.449999999999989,1,1,0,0
C02319,M3 IPF,2.22,0.42,2.63,1.89,2.22,Finance/Insurance (52),Northeast,Suburban,100-999,0.0615,6.239999999999995,1,1,0,0
C20156,M3c Var-Damp-IPF,0.97,1.36,1.51,0.53,0.89,Finance/Insurance (52),Northeast,Suburban,1k-9999,0.044,7.989999999999995,1,1,0,0
R51606,M3 IPF,3.58,0.17,4.61,3.0,3.5,Finance/Insurance (52),Northeast,Suburban,100-999,0.0734,10.509999999999991,1,1,0,0
779377,M3 IPF,2.76,1.13,3.4,2.29,2.64,Finance/Insurance (52),Northeast,Suburban,100-999,0.0956,8.289999999999992,1,1,0,0
BD3086,M3 IPF,2.98,0.64,3.33,2.39,2.75,Finance/Insurance (52),Northeast,Urban,100-999,0.0757,10.280000000000001,1,1,0,0
4962,M3 IPF,2.5,2.36,3.31,3.16,4.02,Finance/Insurance (52),Northeast,Urban,100-999,0.2416,11.769999999999996,1,1,0,0
P01850,M3b Damp-IPF,1.53,2.38,2.06,1.58,1.6,Finance/Insurance (52),Northeast,Urban,100-999,0.0987,2.519999999999996,1,1,0,0
709181,M1b Learned-Wt,7.74,13.48,6.87,6.16,5.22,Finance/Insurance (52),Northeast,Urban,100-999,0.3612,18.270000000000003,1,1,0,0
27096,M3c Var-Damp-IPF,1.14,4.81,1.35,0.84,0.97,Finance/Insurance (52),Northeast,Urban,1k-9999,0.1777,0.8100000000000023,1,1,0,0
535205,M1b Learned-Wt,1.81,5.2,1.47,1.25,1.1,Finance/Insurance (52),Northeast,Urban,1k-9999,0.1597,3.5799999999999983,1,1,0,0
A28328,M3 IPF,2.23,0.07,2.77,1.76,2.15,Finance/Insurance (52),Northeast,Suburban,100-999,0.039,8.489999999999995,1,1,0,0
B17856,M3c Var-Damp-IPF,0.63,1.43,1.29,0.35,0.64,Finance/Insurance (52),Northeast,Suburban,1k-9999,0.0283,9.560000000000002,1,1,0,0
794295,M1b Learned-Wt,3.99,9.93,3.43,3.69,3.18,Finance/Insurance (52),Northeast,Urban,1k-9999,0.2813,10.280000000000001,1,1,0,0
B37132,M3 IPF,3.36,1.96,3.98,3.45,3.72,Finance/Insurance (52),Northeast,Urban,100-999,0.1835,5.959999999999994,1,1,0,0
A54104,M2c ZIP-Tract,1.16,6.42,1.14,1.9,3.2,Finance/Insurance (52),Northeast,Urban,100-999,0.4089,28.5,1,1,0,0
M06174,M3b Damp-IPF,2.67,3.36,3.75,3.41,3.99,Finance/Insurance (52),Northeast,Urban,100-999,0.2813,10.280000000000001,1,1,0,0
X38387,M3c Var-Damp-IPF,0.93,1.46,1.35,0.76,0.84,Finance/Insurance (52),Northeast,Suburban,100-999,0.044,7.989999999999995,1,1,0,0
EN8613,M3 IPF,2.54,0.09,3.13,2.24,2.69,Finance/Insurance (52),Northeast,Suburban,100-999,0.0623,6.159999999999997,1,1,0,0
780414,M1b Learned-Wt,6.85,11.38,5.94,6.2,5.66,Finance/Insurance (52),Northeast,Urban,100-999,0.298,11.950000000000003,1,1,0,0
P01008,M2c ZIP-Tract,2.32,6.28,2.06,2.38,2.39,Finance/Insurance (52),Northeast,Urban,100-999,0.1425,4.329999999999998,1,1,0,0
FP0363,M3b Damp-IPF,0.89,3.49,1.9,1.16,1.78,Finance/Insurance (52),Northeast,Urban,100-999,0.1836,5.969999999999999,1,1,0,0
BD7808,M3 IPF,3.5,1.73,4.17,3.69,4.0,Finance/Insurance (52),Northeast,Urban,100-999,0.1975,1.9000000000000057,1,1,0,0
G00280,M3 IPF,3.6,1.27,3.98,3.6,3.87,Finance/Insurance (52),Northeast,Urban,100-999,0.168,1.0499999999999972,1,1,0,0
K03175,M3 IPF,2.43,0.54,3.36,1.73,2.32,Finance/Insurance (52),Northeast,Urban,100-999,0.0497,12.879999999999995,1,1,0,0
605067,M3b Damp-IPF,16.1,21.22,16.42,16.48,16.79,"Food/Bev Manufacturing (311,312)",West,Urban,10000+,0.191,35.63,1,0,0,0
924292,M2c ZIP-Tract,13.29,17.36,12.15,13.85,13.12,"Food/Bev Manufacturing (311,312)",South,Urban,10000+,0.1373,24.779999999999994,1,0,0,0
T63693,M1b Learned-Wt,11.65,16.52,11.85,11.36,11.35,"Food/Bev Manufacturing (311,312)",West,Urban,1k-9999,0.2413,13.460000000000008,1,0,0,0
M01805,M2c ZIP-Tract,2.61,4.4,2.12,4.53,4.94,"Food/Bev Manufacturing (311,312)",South,Urban,1k-9999,0.3122,40.05,1,0,0,0
777630,M1b Learned-Wt,15.28,19.12,14.67,14.72,14.27,"Food/Bev Manufacturing (311,312)",West,Urban,1k-9999,0.3118,6.409999999999997,1,0,0,0
T01459,M1b Learned-Wt,3.32,6.86,3.26,3.27,3.14,Healthcare/Social (62),South,Urban,10000+,0.1206,9.819999999999993,1,0,0,1
55644,M3b Damp-IPF,11.29,16.73,11.92,12.05,12.75,Healthcare/Social (62),Northeast,Urban,10000+,0.3612,33.230000000000004,1,0,0,1
X39049,M1b Learned-Wt,11.44,11.84,11.27,10.53,9.96,Healthcare/Social (62),South,Urban,10000+,0.399,24.590000000000003,1,0,0,1
X43991,M1b Learned-Wt,7.05,10.13,6.78,6.85,6.57,Healthcare/Social (62),Northeast,Urban,10000+,0.1425,1.3700000000000045,1,0,0,1
123754,M1b Learned-Wt,10.73,13.43,9.62,9.56,8.43,Healthcare/Social (62),South,Urban,10000+,0.475,25.56,1,0,0,1
P00023,M2c ZIP-Tract,7.91,13.73,7.89,8.31,8.13,Healthcare/Social (62),South,Urban,10000+,0.2283,16.520000000000003,1,0,0,1
HB8034,M3c Var-Damp-IPF,2.49,4.71,3.08,2.1,2.24,Healthcare/Social (62),West,Urban,100-999,0.1783,8.780000000000001,1,0,0,1
KN5250,M2c ZIP-Tract,16.99,21.75,15.72,17.65,16.8,Healthcare/Social (62),South,Urban,1-99,0.096,21.710000000000008,1,0,0,1
HE2507,M1b Learned-Wt,6.08,13.31,5.87,5.76,5.56,Healthcare/Social (62),West,Urban,100-999,0.2974,16.580000000000005,1,0,0,1
P00688,M3c Var-Damp-IPF,0.96,3.33,1.28,0.86,1.27,Healthcare/Social (62),Midwest,Urban,1k-9999,0.1152,0.7900000000000063,1,0,0,1
X39621,M1b Learned-Wt,8.23,13.88,6.86,7.19,6.34,Information (51),West,Urban,10000+,0.312,6.340000000000003,1,0,0,0
HA9597,M3c Var-Damp-IPF,4.07,6.66,5.72,2.99,4.06,Information (51),West,Urban,1k-9999,0.4615,1.3000000000000043,1,0,0,0
BC4560,M3 IPF,5.19,0.74,6.4,4.41,4.85,Information (51),South,Suburban,100-999,0.1031,15.879999999999995,1,0,0,0
T10625,M3b Damp-IPF,2.97,3.92,3.28,3.57,4.16,Information (51),South,Urban,100-999,0.2718,14.620000000000005,1,0,0,0
GL2422,M3c Var-Damp-IPF,4.01,3.92,6.61,3.77,5.03,Information (51),West,Urban,1k-9999,0.312,8.43,1,0,0,0
AN8735,M1b Learned-Wt,7.62,11.76,7.65,7.22,6.98,Information (51),Northeast,Urban,1k-9999,0.3612,1.7899999999999991,1,0,0,0
HP5258,M2c ZIP-Tract,2.11,4.88,1.28,2.22,1.33,Metal/Machinery Mfg (331-333),Midwest,Urban,1-99,0.2038,7.11999999999999,1,0,0,0
P15236,M3c Var-Damp-IPF,2.1,5.57,3.62,1.24,2.48,Metal/Machinery Mfg (331-333),West,Urban,100-999,0.193,16.75,1,0,0,0
8581,M3 IPF,3.38,0.66,4.04,4.01,4.72,Metal/Machinery Mfg (331-333),Midwest,Urban,100-999,0.2123,11.790000000000006,1,0,0,0
GK1060,M3 IPF,9.79,6.77,9.76,9.54,9.96,Metal/Machinery Mfg (331-333),South,Urban,1-99,0.456,5.990000000000002,1,0,0,0
GC4427,M3 IPF,8.24,0.65,10.13,8.44,9.63,Metal/Machinery Mfg (331-333),West,Urban,100-999,0.4327,0.8000000000000043,1,0,0,0
JP3050,M3c Var-Damp-IPF,2.52,5.83,2.65,1.6,3.2,Metal/Machinery Mfg (331-333),South,Urban,1k-9999,0.2604,6.240000000000009,1,0,0,0
EY9049,M1b Learned-Wt,4.62,10.8,5.06,3.75,3.71,Other,South,Urban,100-999,0.3745,2.8700000000000045,1,0,0,0
R60552,M2c ZIP-Tract,5.13,7.86,4.02,4.61,4.12,Other,Midwest,Urban,1k-9999,0.2038,2.9000000000000057,1,0,0,0
EB0108,M2c ZIP-Tract,1.73,5.43,1.3,1.45,1.43,Other,Midwest,Urban,100-999,0.1506,0.6899999999999977,1,0,0,0
749274,M3 IPF,3.99,3.62,4.13,4.54,4.66,Other,South,Urban,1k-9999,0.4843,13.119999999999997,1,0,0,0
HR6361,M1b Learned-Wt,9.71,14.79,9.25,8.91,8.54,Other,Northeast,Urban,100-999,0.2416,9.840000000000003,1,0,0,0
DD3138,M2c ZIP-Tract,6.25,13.57,4.79,6.11,5.16,Other,South,Urban,10000+,0.3061,0.6200000000000045,1,0,0,0
A59537,M1b Learned-Wt,4.04,4.92,2.72,4.11,2.24,Other,Midwest,Urban,1k-9999,0.1038,7.019999999999996,1,0,0,0
T51923,M3c Var-Damp-IPF,1.57,3.95,1.6,1.21,1.87,Other,West,Urban,100-999,0.1767,7.969999999999999,1,0,0,0
R02352,M1b Learned-Wt,0.76,1.52,0.82,0.68,0.62,Other,West,Suburban,1k-9999,0.0534,1.3499999999999943,1,0,0,0
102763,M3 IPF,9.79,6.58,8.73,10.41,9.61,Other,South,Urban,10000+,0.475,14.299999999999997,1,0,0,0
155560,M1b Learned-Wt,9.39,15.09,8.6,7.91,7.75,Other,West,Urban,10000+,0.4327,0.1700000000000017,1,0,0,0
758988,M3c Var-Damp-IPF,1.28,6.11,1.46,0.87,1.29,Other,Midwest,Urban,1k-9999,0.2141,1.8700000000000045,1,0,0,0
BC1373,M3b Damp-IPF,2.4,3.64,3.61,4.14,5.09,Other,South,Urban,1-99,0.3932,23.830000000000005,1,0,0,0
BQ3519,M3 IPF,3.62,2.57,3.8,3.11,3.33,Other,South,Suburban,1k-9999,0.1798,7.569999999999993,1,0,0,0
JX4095,M3c Var-Damp-IPF,1.69,4.33,2.67,1.59,2.51,Other,Midwest,Urban,1k-9999,0.2103,5.719999999999999,1,0,0,0
514891,M1b Learned-Wt,8.17,13.87,7.37,6.68,6.52,Other,West,Urban,10000+,0.4327,0.1700000000000017,1,0,0,0
JG2708,M3 IPF,7.49,3.35,7.67,6.67,6.68,Other,South,Urban,100-999,0.3472,6.960000000000001,1,0,0,0
HM0581,M3 IPF,5.24,4.33,4.97,5.33,5.15,Other,South,Urban,100-999,0.2547,1.3900000000000006,1,0,0,0
A30049,M1b Learned-Wt,6.39,8.12,6.11,6.39,6.07,Other,West,Rural,100-999,0.2794,21.25,1,0,0,0
64499,M1b Learned-Wt,7.14,10.5,7.08,6.78,6.69,Other,South,Urban,100-999,0.2574,10.949999999999989,1,0,0,0
K06784,M3 IPF,5.39,0.54,6.19,4.62,5.2,Other,Northeast,Urban,1k-9999,0.1536,13.579999999999998,1,0,0,0
84494,M3 IPF,3.18,2.88,4.85,5.3,6.45,Other,South,Urban,1-99,0.4845,30.439999999999998,1,0,0,0
FM4241,M3 IPF,10.08,4.2,10.81,10.59,11.14,Other,South,Urban,1k-9999,0.4186,6.549999999999997,1,0,0,0
M02138,M1b Learned-Wt,5.21,10.71,4.57,4.28,3.47,Other Manufacturing,Midwest,Urban,10000+,0.2883,5.0,1,0,0,0
FM3559,M3 IPF,8.75,5.08,8.58,9.0,9.31,Other Manufacturing,South,Urban,1k-9999,0.4843,11.399999999999999,1,0,0,0
905216,M3c Var-Damp-IPF,2.23,6.33,4.36,1.48,2.66,Other Manufacturing,West,Urban,1k-9999,0.2974,11.500000000000007,1,0,0,0
M10235,M2c ZIP-Tract,2.8,4.88,2.6,2.8,2.67,Other Manufacturing,Midwest,Suburban,1k-9999,0.0615,4.289999999999992,1,0,0,0
501465,M1b Learned-Wt,2.43,6.17,2.06,1.88,1.27,Other Manufacturing,Midwest,Urban,1k-9999,0.2103,3.010000000000005,1,0,0,0
773671,M1b Learned-Wt,9.27,12.06,8.89,8.89,8.02,Professional/Technical (54),South,Urban,1k-9999,0.3526,4.819999999999993,1,0,0,0
740911,M3b Damp-IPF,3.71,3.95,3.94,4.2,4.9,Professional/Technical (54),South,Urban,1k-9999,0.4843,19.839999999999996,1,0,0,0
EF2132,M3c Var-Damp-IPF,2.39,8.26,3.17,2.18,3.44,Professional/Technical (54),South,Urban,1k-9999,0.366,6.479999999999997,1,0,0,0
FX6896,M3b Damp-IPF,3.08,5.31,5.01,3.09,4.84,Professional/Technical (54),South,Urban,100-999,0.366,3.479999999999997,1,0,0,0
R05996,M3b Damp-IPF,1.92,5.59,3.73,2.39,4.91,Professional/Technical (54),Northeast,Urban,100-999,0.4089,16.349999999999994,1,0,0,0
X10700,M3c Var-Damp-IPF,2.49,3.23,3.77,2.4,2.98,Professional/Technical (54),Northeast,Urban,100-999,0.1835,5.090000000000003,1,0,0,0
HK7569,M1b Learned-Wt,16.05,21.44,16.29,15.73,15.63,Professional/Technical (54),West,Urban,100-999,0.3341,18.470000000000006,1,0,0,0
M50897,M1b Learned-Wt,17.9,18.69,17.82,17.79,17.54,Professional/Technical (54),South,Urban,100-999,0.2604,1.0300000000000011,1,0,0,0
A27036,M3 IPF,5.77,5.02,7.06,5.34,5.98,Professional/Technical (54),South,Urban,100-999,0.366,3.479999999999997,1,0,0,0
GW9222,M1b Learned-Wt,6.16,10.68,5.41,5.61,4.41,Professional/Technical (54),Northeast,Urban,1k-9999,0.2416,10.209999999999994,1,0,0,0
BE5803,M3b Damp-IPF,2.27,4.17,4.62,2.57,4.24,Professional/Technical (54),West,Urban,100-999,0.312,11.760000000000005,1,0,0,0
T01875,M3b Damp-IPF,1.27,5.32,2.83,1.29,2.63,Professional/Technical (54),Midwest,Urban,1k-9999,0.2387,4.050000000000011,1,0,0,0
HR3228,M3b Damp-IPF,2.51,5.96,3.6,2.87,3.61,Professional/Technical (54),Northeast,Urban,100-999,0.3612,5.710000000000001,1,0,0,0
A24598,M1b Learned-Wt,5.7,9.94,5.58,5.5,5.02,Professional/Technical (54),West,Urban,100-999,0.1619,0.5700000000000074,1,0,0,0
A30303,M3 IPF,2.7,1.2,3.36,2.96,3.86,Professional/Technical (54),Northeast,Urban,100-999,0.1777,7.3799999999999955,1,0,0,0
FJ8664,M3c Var-Damp-IPF,3.57,3.85,4.39,3.18,3.42,Professional/Technical (54),Northeast,Urban,100-999,0.1437,12.449999999999989,1,0,0,0
AN3536,M3 IPF,5.57,3.24,7.3,5.59,7.34,Professional/Technical (54),South,Urban,1-99,0.366,3.479999999999997,1,0,0,0
P00486,M3c Var-Damp-IPF,3.57,7.59,4.57,3.19,3.78,Professional/Technical (54),West,Urban,100-999,0.4375,9.14,1,0,0,0
HR1941,M3c Var-Damp-IPF,2.5,4.24,3.48,2.12,2.81,Professional/Technical (54),South,Urban,1-99,0.2215,7.759999999999991,1,0,0,0
BC9737,M3c Var-Damp-IPF,2.5,4.51,3.63,2.17,3.04,Professional/Technical (54),West,Suburban,100-999,0.1595,18.429999999999993,1,0,0,0
CU7515,M1b Learned-Wt,2.6,9.49,2.57,2.3,1.85,Professional/Technical (54),Northeast,Urban,1k-9999,0.3612,12.57,1,0,0,0
D15062,M3 IPF,5.26,1.05,5.31,5.44,5.91,Professional/Technical (54),South,Urban,1k-9999,0.2627,5.3999999999999915,1,0,0,0
A54648,M1b Learned-Wt,3.33,8.65,4.08,2.96,2.78,Professional/Technical (54),West,Urban,1k-9999,0.312,10.669999999999995,1,0,0,0
