local_number,local_name,city,state,zip,phone,email,website,leadership_name,leadership_title,divisions,full_address,latitude,longitude,scraped_at
191,Teamsters LU No 191,Bridgeport,CT,06605,(203) 368-0231,office@teamsterslocal191.com,,Robert DiGirolamo,Secretary-Treasurer,"Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division","1139 Fairfield Avenue Bridgeport CT , 06605",41.173636,-73.206077,2026-02-03T08:59:28.293653
200,Teamsters LU No 200,Milwaukee,WI,53213,(414) 771-6363,info@teamsterslocal200.com,https://teamsterslocal200.com,Mark Hanley,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","6200 W. Bluemound Rd Milwaukee WI , 53213",43.036652,-87.990514,2026-02-03T08:59:28.293655
202,Teamsters LU No 202,Bronx,NY,10474,(718) 328-7000,local202@aol.com,,"Daniel J. Kane, Jr.",President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","N Y City Term Mkt,12A Bronx NY , 10474",40.813929,-73.884104,2026-02-03T08:59:28.293658
205,Teamsters LU No 205,White Oak,PA,15131,(412) 751-7988,teamsters205@teamsters205.com,https://www.teamsters205.org,Carl A. Bailey,Secretary-Treasurer,"Food Processing Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division","1184 Long Run Road White Oak PA , 15131",40.332438,-79.813518,2026-02-03T08:59:28.293660
206,Teamsters LU No 206,Portland,OR,97230,(503) 251-2344,,,Dan Soeby,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1860 NE 162nd Avenue Portland OR , 97230",45.536132,-122.494841,2026-02-03T08:59:28.293662
210,Teamsters LU No 210,Staten Island,NY,10314,(212) 757-3463,ea@ibtlocal210.org,https://www.ibtlocal210.org,Robert Bellach,Secretary-Treasurer,"Airline Division, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1911 Richmond Avenue Staten Island NY , 10314",40.705121,-74.0114,2026-02-03T08:59:28.293665
211,Teamsters LU No 211,Carnegie,PA,15106,(412) 276-2373,ibt211@verizon.net,,Joseph A. Molinero,President,,"1100 Washington Ave # 304 Carnegie PA , 15106",40.3980601,-80.0866301,2026-02-03T08:59:28.293667
213,Teamsters LU No 213,Vancouver BC,CN,V5T 1X3,(604) 876-5213,team213@teamster213.org,https://www.teamsters213.org,Tony Santavenere,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","490 E. Broadway Vancouver BC CN , V5T 1X3",49.262198,-123.093628,2026-02-03T08:59:28.293670
214,Teamsters LU No 214,Detroit,MI,48216,(313) 962-7729,lwilson@teamsters214.org,,Joseph M. Valenti,President,Public Services and Health Care Division,"2825 Trumbull Avenue Detroit MI , 48216",42.337465,-83.070742,2026-02-03T08:59:28.293673
215,Teamsters LU No 215,Evansville,IN,47706,(812) 424-6471,teamsters215@att.net,,Earl R. Brown,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","Post Office Box 1040 Evansville IN , 47706",37.997128,-87.574963,2026-02-03T08:59:28.293675
222,Teamsters LU No 222,Salt Lake City,UT,84119,(801) 972-1898,,https://www.teamsterslocal222.org,Spencer L. Hogue,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","2641 South 3270 West Salt Lake City UT , 84119",40.71261,-111.968595,2026-02-03T08:59:28.293678
223,Teamsters LU No 223,Gladstone,OR,97027,(503) 256-5995,,https://www.teamsters223.com,Austin DePaolo,Secretary-Treasurer,"Food Processing Division, Freight Division, Industrial Trades Division, Public Services and Health Care Division, Warehouse Division","15 82nd Drive Suite 10 Gladstone OR , 97027",45.532016,-122.553414,2026-02-03T08:59:28.293681
229,Teamsters LU No 229,Scranton,PA,18503,(570) 344-7219,teamsters229@teamsters229.org,https://www.teamsters229.org,Mike Kovaleski,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Warehouse Division","431 Wyoming Avenue Scranton PA , 18503",41.437665,-75.615266,2026-02-03T08:59:28.293684
230,Teamsters LU No 230,Markham Ont,CN,L3R 3L4,(905) 415-5139,info@teamsterlocal230.org,,Ken D. Hall,President,"Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Solid Waste and Recycling Division","431 Alden Road, #15 Markham Ont CN , L3R 3L4",43.834132,-79.332427,2026-02-03T08:59:28.293686
231,Teamsters LU No 231,Bellingham,WA,98227,(360) 734-7780,,https://www.231teamsters.org,Heather Ewing,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","Post Office Box H Bellingham WA , 98227",48.814753,-121.988548,2026-02-03T08:59:28.293689
236,Teamsters LU No 236,Paducah,KY,42002,(270) 442-1669,local236@bellsouth.net,,Darren Woodward,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Tankhaul Division","Post Office Box 7454 Paducah KY , 42002",37.085511,-88.71247,2026-02-03T08:59:28.293692
237,Teamsters LU No 237,New York,NY,10011,(212) 924-2000,greyes@local237.org,https://www.local237.org,Gregory Floyd,President,Public Services and Health Care Division,"216 West 14th Street New York NY , 10011",40.738617,-74.000108,2026-02-03T08:59:28.293694
238,Teamsters LU No 238,Cedar Rapids,IA,52404,(319) 365-1461,,https://www.teamsterslocal238.com,Jesse Case,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","5000 J Street SW Cedar Rapids IA , 52404",41.93026,-91.667018,2026-02-03T08:59:28.293696
243,Teamsters LU No 243,Plymouth Twp,MI,48170,(734) 420-6900,,https://www.teamsters243.org,Scott Quenneville,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","39420 Schoolcraft Plymouth Twp MI , 48170",42.382803,-83.431876,2026-02-03T08:59:28.293698
245,Teamsters LU No 245,Springfield,MO,65803,(417) 866-7206,teamsters245@sbcglobal.net,,Bryan Emory,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","1850 E. Division Springfield MO , 65803",37.224822,-93.259751,2026-02-03T08:59:28.293701
247,Teamsters LU No 247,Detroit,MI,48216,(313) 961-0068,ibt247@sbcglobal.net,,"Lloyd ""Rick"" Dubroy",Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Industrial Trades Division, Solid Waste and Recycling Division, Warehouse Division","2741 Trumbull Avenue Detroit MI , 48216",42.336512,-83.070856,2026-02-03T08:59:28.293703
249,Teamsters LU No 249,Pittsburgh,PA,15201,(412) 682-3700,info@teamsters249.org,https://teamsterslocal249.org/,Kevin M. Schmitt,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","Post Office Box 40128 Pittsburgh PA , 15201",40.467043,-79.954976,2026-02-03T08:59:28.293705
250,Teamsters LU No 250,Pittsburgh,PA,15203,(412) 481-5233,gpedicone@teamsters250.org,https://www.teamsters250.org,Keith A. Kuzmanko,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Convention, Trade Show & Casino Division, Industrial Trades Division, Public Services and Health Care Division, Warehouse Division","3700 S. Water St,#160 Pittsburgh PA , 15203",40.41869,-79.955503,2026-02-03T08:59:28.293708
251,Teamsters LU No 251,E. Providence,RI,02914,(401) 434-0454,mtaibi.ibt251@gmail.com,https://www.teamsterslocal251.org,Matthew Taibi,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","121 Brightridge Ave E. Providence RI , 02914",41.808511,-71.365077,2026-02-03T08:59:28.293710
252,Teamsters LU No 252,Centralia,WA,98531-4449,(360) 736-9979,brian252@teamsters252.org,https://www.teamsters252.org,Brian Blaisdell,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","217 East Main Street Centralia WA , 98531-4449",46.716137,-122.952735,2026-02-03T08:59:28.293714
261,Teamsters LU No 261,New Castle,PA,16105,(724) 658-5554,mleckwart@teamsters261.com,,Michael Leckwart,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","351 Northgate Cir, #A New Castle PA , 16105",41.066535,-80.367253,2026-02-03T08:59:28.293717
264,Teamsters LU No 264,Cheektowaga,NY,14227,(716) 668-8007,,https://www.teamsters264.org,Brian Dickman,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","35 Tyrol Drive Cheektowaga NY , 14227",42.87209,-78.752913,2026-02-03T08:59:28.293720
267,Teamsters LU No 267,Fort Collins,CO,80524,(970) 482-2749,,,Michael Cova,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink","434 S. Link Lane Fort Collins CO , 80524",40.582561,-105.049416,2026-02-03T08:59:28.293722
270,Teamsters LU No 270,New Orleans,LA,70177,(504) 945-3152,teamsters270@teamsters270.com,,"Stephen Sorrell, Jr.",President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","Post Office Box 3398 New Orleans LA , 70177",30.032997,-89.882564,2026-02-03T08:59:28.293724
272,Teamsters LU No 272,New York,NY,10010,(212) 726-9726,local272nyc.ibt@gmail.com,https://www.teamsterslocal272.org,Fred Alston,Secretary-Treasurer,"Industrial Trades Division, Public Services and Health Care Division","220 E 23rd St., Rm 801 New York NY , 10010",40.738261,-73.982199,2026-02-03T08:59:28.293727
282,Teamsters LU No 282,Lake Success,NY,11042,(516) 488-2822,,https://www.teamsterslocal282.com,Thomas Gesualdi,President,"Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2500 Marcus Avenue Lake Success NY , 11042",40.759271,-73.697455,2026-02-03T08:59:28.293729
283,Teamsters LU No 283,Wyandotte,MI,48192,(734) 282-8850,teamsters283@wyan.org,https://www.teamsters283.com,,,"Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division","1625 Fort Street Wyandotte MI , 48192",42.217058,-83.180553,2026-02-03T08:59:28.293731
284,Teamsters LU No 284,Columbus,OH,43215,(614) 228-0727,,https://www.teamsters284.unionactive.com,Mark Vandak,President,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","555 E. Rich Street Columbus OH , 43215",39.959008,-82.984758,2026-02-03T08:59:28.293734
287,Teamsters LU No 287,San Jose,CA,95112,(408) 453-0287,info@teamsters287.org,,Jerry Sweeney,Secretary-Treasurer,"Building Material and Construction Trade Division, Express Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1452 N 4th Street San Jose CA , 95112",37.3644767,-121.906908,2026-02-03T08:59:28.293737
289,Teamsters LU No 289,Minneapolis,MN,55414,(612) 331-3480,mikedebuck@teamsterslocal289.org,https://www.teamsterslocal289.org,Mike DeBuck,Secretary-Treasurer,,"3001 Univ Ave SE,#305 Minneapolis MN , 55414",44.979513,-93.227354,2026-02-03T08:59:28.293740
293,Teamsters LU No 293,Independence,OH,44131,(216) 739-9489,mzemla293@sbcglobal.net,https://www.teamsters293.org,Michael H. Zemla,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","5505 Valley Belt Rd,D Independence OH , 44131",41.418104,-81.651019,2026-02-03T08:59:28.293742
294,Teamsters LU No 294,Albany,NY,12206,(518) 489-5436,,https://www.teamsterslocal294.org,Thomas Quackenbush,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","890 3rd St Labor Temp Albany NY , 12206",42.67898,-73.785794,2026-02-03T08:59:28.293745
295,Teamsters LU No 295,Valley Stream,NY,11580,(516) 568-1970,,https://www.local295.com,Lou Calemine,President,"Airline Division, Convention, Trade Show & Casino Division, Express Division, Freight Division, Package Division, Warehouse Division","33 W. Hawthorne, #29 Valley Stream NY , 11580",40.661421,-73.700875,2026-02-03T08:59:28.293747
299,Teamsters LU No 299,Detroit,MI,48216,(313) 965-8750,,,Kevin Moore,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2741 Trumbull Avenue Detroit MI , 48216",42.336512,-83.070856,2026-02-03T08:59:28.293749
301,Teamsters LU No 301,Waukegan,IL,60087,(847) 623-5430,,,Michael T. Haffner,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","36990 N. Green Bay Rd Waukegan IL , 60087",42.399018,-87.882255,2026-02-03T08:59:28.293751
305,Teamsters LU No 305,Portland,OR,97230,(503) 251-2305,office@teamsters305.com,,Steve Konopa,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Food Processing Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","1870 NE 162nd Avenue Portland OR , 97230",45.536089,-122.492167,2026-02-03T08:59:28.293754
313,Teamsters LU No 313,Tacoma,WA,98402,(253) 627-0103,teamsters313@teamsters313.org,https://www.teamsters313.org,Nick Lansdale,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","220 S 27th Street Tacoma WA , 98402",47.236706,-122.435858,2026-02-03T08:59:28.293756
315,Teamsters LU No 315,Martinez,CA,94553,(925) 228-2246,Dgarcia@teamster315.com,https://www.teamsters315.com,Don E. Garcia,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2727 Alhambra Avenue Martinez CA , 94553",38.004645,-122.13059,2026-02-03T08:59:28.293758
317,Teamsters LU No 317,Syracuse,NY,13212,(315) 471-4164,markmay317@outlook.com,https://www.teamsterslocal317.org,Duane Wright,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","149 Northern Concourse Suite 100 Syracuse NY , 13212",43.02143,-76.197701,2026-02-03T08:59:28.293763
320,Teamsters LU No 320,Minneapolis,MN,55414,(612) 378-8700,local320@teamsterslocal320.org,https://www.teamsterslocal320.org,David Erik Skoog,Secretary-Treasurer,,"3001 Univ Ave SE,#500 Minneapolis MN , 55414",44.979513,-93.227354,2026-02-03T08:59:28.293765
322,Teamsters LU No 322,Richmond,VA,23222,(804) 321-0356,,https://www.teamsterslocal322.org,Brian Peyton,President,"Brewery, Bakery, & Soft Drink, Freight Division, Industrial Trades Division, Package Division, Warehouse Division","3705 Carolina Avenue Richmond VA , 23222",37.581525,-77.413624,2026-02-03T08:59:28.293768
324,Teamsters LU No 324,Salem,OR,97305,(503) 378-1421,info@teamsterslocal324.org,https://www.teamsterslocal324.org,Chris R. Muhs,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Food Processing Division, Freight Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","4871 Lancaster Drive, NE Salem OR , 97305",44.961928,-123.01334,2026-02-03T08:59:28.293770
325,Teamsters LU No 325,Rockford,IL,61109,(815) 874-6307,teamsterslocal325@gmail.com,https://www.teamsterslocal325.com,Erik Calvert,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","5533 Eleventh St Rockford IL , 61109",42.196681,-89.065539,2026-02-03T08:59:28.293773
326,Teamsters LU No 326,New Castle,DE,19720,(302) 328-2387,,,"Joseph W. Smith, Jr.",President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","451 E. New Churchmans New Castle DE , 19720",39.673364,-75.620737,2026-02-03T08:59:28.293775
327,Teamsters LU No 327,Nashville,TN,37211,(615) 781-1630,,,Joe H. Bennett,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","1178 Antioch Pike Nashville TN , 37211",36.096121,-86.702451,2026-02-03T08:59:28.293777
330,Teamsters LU No 330,Elgin,IL,60124,(847) 695-1516,,https://www.teamsters330.org,Dominic Romanazzi,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division","2400 Big Timber Road Elgin IL , 60124",42.066411,-88.336517,2026-02-03T08:59:28.293779
331,Teamsters LU No 331,Egg Harbor City,NJ,08215,(609) 641-2331,,https://www.teamsters331.org,Abimael Ortiz,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","1 Philadelphia Avenue Egg Harbor City NJ , 08215",39.527798,-74.649161,2026-02-03T08:59:28.293782
332,Teamsters LU No 332,Flint,MI,48503,(810) 767-7330,dan@teamsters332.com,https://www.teamsters332.com,Dan Glass,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1502 S Dort Highway Flint MI , 48503",43.013472,-83.655046,2026-02-03T08:59:28.293784
337,Teamsters LU No 337,Detroit,MI,48216,(313) 965-9833,,https://www.teamsters337.com,Todd Lince,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","2801 Trumbull Avenue Detroit MI , 48216",42.337173,-83.0706,2026-02-03T08:59:28.293787
340,Teamsters LU No 340,S. Portland,ME,04106,(207) 767-2106,,https://www.teamsterslocal340.org,Brett Miller,President,"Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","27 Main Street S. Portland ME , 04106",43.638468,-70.284397,2026-02-03T08:59:28.293790
341,Teamsters LU No 341,Pittsburgh,PA,15216,(724) 266-8341,,,Joseph Podolak,President,,"1231 Banksville Rd Floor 2 Pittsburgh PA , 15216",40.398081,-80.084402,2026-02-03T08:59:28.293791
344,Teamsters LU No 344,Milwaukee,WI,53214,(414) 258-4545,bcarroll@local344.org,https://www.local344.org,William F. Carroll,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Package Division, Warehouse Division","10020 W Greenfld Ave Milwaukee WI , 53214",43.016765,-88.037822,2026-02-03T08:59:28.293793
346,Teamsters LU No 346,Duluth,MN,55816,(218) 628-1034,local@teamsters346.com,,Zachary Radzak,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","Post Office Box 16208 Duluth MN , 55816",47.640367,-92.442797,2026-02-03T08:59:28.293796
348,Teamsters LU No 348,Akron,OH,44303,(330) 434-3424,,,Patrick J. Darrow,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","272 W. Market Street Akron OH , 44303",41.089344,-81.526744,2026-02-03T08:59:28.293798
350,Teamsters LU No 350,San Francisco,CA,94134,(650) 757-7290,k.katout@ibtlocal350.com,,Robert Sandoval,Secretary-Treasurer,,"150 Executive Park Boulevard Suite 2800 San Francisco CA , 94134",37.691622,-122.471831,2026-02-03T08:59:28.293801
355,Teamsters LU No 355,Baltimore,MD,21223,(410) 566-5700,info@teamsters355.com,https://www.teamsters355.com,Mark Garey,President,"Airline Division, Brewery, Bakery, & Soft Drink, Convention, Trade Show & Casino Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","1030 S. Dukeland St. Baltimore MD , 21223",39.275553,-76.662879,2026-02-03T08:59:28.293804
357,Teamsters LU No 357,Carmel,IN,46032,(317) 644-1405,,https://www.local357.org,Anthony Campo,President,Airline Division,"1320 City Center Drive Suite 160 Carmel IN , 46032",39.674101,-86.36664,2026-02-03T08:59:28.293806
362,Teamsters LU No 362,Calgary Alb,CN,T2H 2C9,(403) 259-4608,teamcal@teamsters362.com,https://www.teamsters362.com,Bernard Haggarty,Secretary-Treasurer,"Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","1200A-58th Ave. S.E. Calgary Alb CN , T2H 2C9",51.001951,-114.038755,2026-02-03T08:59:28.293808
364,Teamsters LU No 364,South Bend,IN,46615,(574) 234-6031,team364@gmail.com,https://www.teamsterslocal364.org,Jerod A. Warnock,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2405 East Edison Road South Bend IN , 46615",41.695514,-86.21438,2026-02-03T08:59:28.293811
371,Teamsters LU No 371,Rock Island,IL,61201,(309) 787-4456,michaelkensinger@teamsterslocal371.com,https://www.teamsterslocal371.com,Michael Kensinger,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","101 31st Avenue Rock Island IL , 61201",41.479954,-90.597757,2026-02-03T08:59:28.293814
373,Teamsters LU No 373,Fort Smith,AR,72903,(479) 646-1639,teamsters373@cox-internet.com,https://www.teamsters373.com,Stacy Fox,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Motion Picture and Theratical Trade Division, Package Division","4314 Phoenix,Box 6268 Fort Smith AR , 72903",35.337755,-94.383861,2026-02-03T08:59:28.293816
377,Teamsters LU No 377,Youngstown,OH,44502,(330) 743-3111,teamsters377@gmail.com,https://www.teamsters377.org,"Ralph ""Sam"" Cook",Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1223 Teamsters Drive Youngstown OH , 44502",41.113067,-80.667934,2026-02-03T08:59:28.293818
384,Teamsters LU No 384,Norristown,PA,19401,(610) 279-8837,ibtlocal384@gmail.com,,Michael Bonaduce,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","2910 Hannah Avenue Norristown PA , 19401",40.141164,-75.309739,2026-02-03T08:59:28.293820
385,Teamsters LU No 385,Orlando,FL,32811,(407) 298-7037,lunion@local385.org,https://www.local385.org,Walter Howard,President,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","126 N Kirkman Road Orlando FL , 32811",28.543775,-81.458914,2026-02-03T08:59:28.293822
