local_number,match_status,official_name,db_name,official_city,db_city,official_state,db_state,db_members,db_f_num,issues
823,MATCH,Teamsters LU No 823,TEAMSTERS,Joplin,JOPLIN,MO,MO,497,36261,
830,MATCH,Teamsters LU No 830,TEAMSTERS,Philadelphia,PHILADELPHIA,PA,PA,2985,9324,
833,MATCH,Teamsters LU No 833,TEAMSTERS,Jefferson City,JEFFERSON CITY,MO,MO,494,15386,
838,MATCH,Teamsters LU No 838,TEAMSTERS,Kansas City,KANSAS CITY,MO,MO,1554,42299,
839,MATCH,Teamsters LU No 839,TEAMSTERS,Pasco,PASCO,WA,WA,2483,15385,
848,MATCH,Teamsters LU No 848,TEAMSTERS,Glendora,GLENDORA,CA,CA,7451,1429,
853,MATCH,Teamsters LU No 853,TEAMSTERS,Oakland,OAKLAND,CA,CA,11115,20870,
856,MATCH,Teamsters LU No 856,TEAMSTERS,San Bruno,SAN BRUNO,CA,CA,24485,35507,
863,MATCH,Teamsters LU No 863,TEAMSTERS,Mountainside,MOUNTAINSIDE,NJ,NJ,4284,1348,
877,MATCH,Teamsters LU No 877,TEAMSTERS,Linden,LINDEN,NJ,NJ,652,68162,
878,MATCH,Teamsters LU No 878,TEAMSTERS,Little Rock,LITTLE ROCK,AR,AR,1950,32629,
886,MATCH,Teamsters LU No 886,TEAMSTERS,Oklahoma City,OKLAHOMA CITY,OK,OK,2854,29835,
890,MATCH,Teamsters LU No 890,TEAMSTERS,Salinas,SALINAS,CA,CA,6145,4180,
891,MATCH,Teamsters LU No 891,TEAMSTERS,Pearl,PEARL,MS,MS,2420,28114,
896,MATCH,Teamsters LU No 896,TEAMSTERS,Pasadena,PASADENA,CA,CA,2982,30466,
901,MATCH,Teamsters LU No 901,TEAMSTERS,San Juan,SAN JUAN,PR,PR,1855,48892,
908,MATCH,Teamsters LU No 908,TEAMSTERS,Lima,LIMA,OH,OH,904,22539,
916,MATCH,Teamsters LU No 916,TEAMSTERS,Springfield,SPRINGFIELD,IL,IL,4112,41023,
917,MATCH,Teamsters LU No 917,TEAMSTERS,Floral Park,FLORAL PARK,NY,NY,2765,34873,
919,MATCH,Teamsters LU No 919,TEAMSTERS,Houston,HOUSTON,TX,TX,407,67569,
922,MATCH,Teamsters LU No 922,TEAMSTERS,Lanham,Lanham,MD,MD,930,37260,
926,MATCH,Teamsters LU No 926,TEAMSTERS,Pittsburgh,PITTSBURGH,PA,PA,2141,19807,
929,MATCH,Teamsters LU No 929,TEAMSTERS,Philadelphia,PHILADELPHIA,PA,PA,2827,16753,
947,MATCH,Teamsters LU No 947,TEAMSTERS,Jacksonville,JACKSONVILLE,FL,FL,428,67470,
948,MATCH,Teamsters LU No 948,TEAMSTERS,Visalia,VISALIA,CA,CA,3903,39853,
952,MATCH,Teamsters LU No 952,TEAMSTERS,Orange,ORANGE,CA,CA,7444,34503,
955,MATCH,Teamsters LU No 955,TEAMSTERS,Kansas City,KANSAS CITY,MO,MO,898,15380,
957,MATCH,Teamsters LU No 957,TEAMSTERS,Dayton,DAYTON,OH,OH,3783,2881,
959,MATCH,Teamsters LU No 959,TEAMSTERS,Anchorage,ANCHORAGE,AK,AK,5798,14285,
962,MATCH,Teamsters LU No 962,TEAMSTERS,Central Point,CENTRAL POINT,OR,OR,0,36804,
964,MATCH,Teamsters LU No 964,TEAMSTERS,Valley View,VALLEY VIEW,OH,OH,613,10485,
970,MATCH,Teamsters LU No 970,TEAMSTERS,Minneapolis,MINNEAPOLIS,MN,MN,1120,43880,
974,MATCH,Teamsters LU No 974,TEAMSTERS,Minneapolis,MINNEAPOLIS,MN,MN,1350,41348,
983,MATCH,Teamsters LU No 983,TEAMSTERS,Pocatello,POCATELLO,ID,ID,961,11335,
986,MATCH,Teamsters LU No 986,TEAMSTERS,Covina,COVINA,CA,CA,18397,15379,
988,MATCH,Teamsters LU No 988,TEAMSTERS,Houston,HOUSTON,TX,TX,8811,65379,
991,MATCH,Teamsters LU No 991,TEAMSTERS,Mobile,MOBILE,AL,AL,1999,16933,
996,MATCH,Teamsters LU No 996,TEAMSTERS,Honolulu,HONOLULU,HI,HI,5959,28511,
1035,MATCH,Teamsters LU No 1035,TEAMSTERS,South Windsor,SOUTH WINDSOR,CT,CT,878,37092,
1038,MATCH,Teamsters LU No 1038,TEAMSTERS,Detroit,DETROIT,MI,MI,1383,24526,
1070,DISCREPANCY,Teamsters LU No 1070,TEAMSTERS,Lafayette,Michigantown,IN,IN,217,65229,city: Lafayette vs Michigantown
1129,DISCREPANCY,Teamsters LU No 1129,TEAMSTERS,White,CARTERSVILLE,GA,GA,351,530702,city: White vs CARTERSVILLE
1149,MATCH,Teamsters LU No 1149,TEAMSTERS,Baldwinsville,BALDWINSVILLE,NY,NY,464,17078,
1150,MATCH,Teamsters LU No 1150,TEAMSTERS,Stratford,STRATFORD,CT,CT,3599,59449,
1199,MATCH,Teamsters LU No 1199,TEAMSTERS,Cincinnati,CINCINNATI,OH,OH,1823,28369,
1205,MATCH,Teamsters LU No 1205,TEAMSTERS,Farmingdale,FARMINGDALE,NY,NY,1638,23458,
1224,MATCH,Teamsters LU No 1224,TEAMSTERS,Wilmington,WILMINGTON,OH,OH,1613,530945,
1932,MATCH,Teamsters LU No 1932,TEAMSTERS,San Bernardino,SAN BERNARDINO,CA,CA,15160,545929,
2010,MATCH,Teamsters LU No 2010,TEAMSTERS,Oakland,OAKLAND,CA,CA,15034,545887,
2118,MATCH,Teamsters LU No 2118,TEAMSTERS,Las Vegas,LAS VEGAS,NV,NV,1376,546457,
2727,DISCREPANCY,Teamsters LU No 2727,TEAMSTERS,Shepherdsville,LOUISVILLE,KY,KY,2054,517674,city: Shepherdsville vs LOUISVILLE
2750,MATCH,Teamsters LU No 2750,TEAMSTERS,Cincinnati,CINCINNATI,OH,OH,2866,546351,
2785,MATCH,Teamsters LU No 2785,TEAMSTERS,Daly City,DALY CITY,CA,CA,2351,34030,
